iter	Passed	Remaining
0	2	2510
1	4	2176
2	5	1903
3	6	1737
4	8	1635
5	9	1571
6	11	1696
7	13	1711
8	15	1727
9	16	1675
10	18	1639
11	19	1597
12	20	1568
13	21	1529
14	23	1567
15	25	1574
16	27	1592
17	29	1597
18	31	1609
19	32	1606
20	34	1595
21	35	1575
22	36	1556
23	37	1533
24	43	1705
25	45	1691
26	46	1691
27	48	1686
28	51	1729
29	56	1814
30	58	1829
31	59	1809
32	62	1830
33	65	1849
34	67	1859
35	69	1853
36	73	1900
37	74	1884
38	77	1915
39	79	1906
40	80	1889
41	81	1868
42	90	2023
43	93	2024
44	94	2003
45	95	1983
46	97	1967
47	99	1980
48	101	1965
49	107	2038
50	109	2033
51	112	2049
52	113	2033
53	115	2022
54	116	2005
55	120	2026
56	122	2030
57	124	2016
58	125	2005
59	127	1989
60	128	1974
61	129	1960
62	130	1945
63	132	1930
64	137	1982
65	139	1973
66	142	1980
67	145	1992
68	147	1983
69	148	1969
70	154	2019
71	155	2005
72	156	1992
73	158	1980
74	160	1985
75	162	1973
76	172	2062
77	173	2054
78	175	2043
79	176	2030
80	177	2017
81	179	2004
82	180	1993
83	189	2064
84	191	2059
85	193	2052
86	194	2045
87	196	2034
88	200	2051
89	201	2041
90	203	2030
91	204	2018
92	206	2012
93	207	2002
94	209	1992
95	210	1982
96	211	1971
97	214	1971
98	215	1964
99	217	1956
100	218	1946
101	220	1937
102	222	1933
103	223	1924
104	224	1913
105	225	1904
106	232	1937
107	233	1928
108	234	1919
109	235	1909
110	237	1900
111	238	1892
112	240	1886
113	241	1878
114	242	1869
115	244	1861
116	247	1868
117	249	1863
118	251	1859
119	252	1852
120	253	1844
121	255	1836
122	256	1825
123	258	1826
124	261	1827
125	262	1822
126	264	1817
127	266	1816
128	269	1819
129	270	1812
130	272	1808
131	274130	38132	314	2047
133	315	2041
134	318	2038
135	319	2031
136	322	2033
137	323	2023
138	325	2013
139	326	2006
140	329	2006
141	331	2000
142	332	1994
143	336	1999
144	339	1999
145	342	2002
146	344	1997
147	345	1989
148	347147	468	2698
148	47150	383	2156
151	385	2148
152	386	2139
153	387	2131
154	389	2124
155	397	2150
156	399	2143
157	402	2143
158	404	2137
159	405	2127
160	409	2134
161	411	2129
162	414	2130
163	417	2128
164	418	2118
165	419	2109
166	421	2103
167	423	2096
168	426	2095
169	428168	57170	463	2247
171	471	2271
172	482	2306
173	489	2324
174	491	2315
175	493	2311
176	494	2300
177	496	2295
178	505	2317
179	524	2387
180	538	2435
181	539	2425
182	541	2416
183	542	2406
184	544	2397
185	570	2495
186	587	2552
187	671	2898
188	710	3047
189	722	3080
190	736	3120
191	738	3106
192	739	3091
193	753	3129
194	762	3148
195	764	3135
196	767	3129
197	769	3116
198	771	3106
199	779	3116
200	781	3108
201	785200	911	3621
201	91203	796	3109
204	864	3353
205	867	3342
206	869	3331
207	874	3330
208	878	3325
209	880	3310
210	882	3299
211	884210	941	3521
211	943	3505
212	948	3503
213	949	3488
214	951	3472
215	952	3457
216	953	3441
217	955	3426
218	956	3412
219	958	3397
220	964	3398
221	965	3385
222	968	3373
223	971	3365
224	972	3350
225	974	3336
226	979	3334
227	980	3320
228	984	3313
229	985	3299
230	987	3285
231	988	3272
232	990	3259
233	992	3249
234	994	3236
235	995	3221
236	996	3208
237	998	3196
238	999	3183
239	1001	3170
240	1002	3157
241	1003	3144
242	1005	3131
243	1044	3236
244	1046	3225
245	1048	3212
246	1055	3217
247	1058	3209
248	1179	3558
249	1181	3543
250	1184	3535
251	1186	3523
252	1188	3509
253	1191	3500
254	1193	3486
255	1194	3472
256	1196	3458
257	1197	3445
258	1199	3432
259	1206	3433
260	1207	3420
261	1210	3410
262	1213	3401
263	1216	3391
264	1219	3383
265	1221	3369
266	1222	3355
267	1223	3343
268	1225	3330
269	1226	3316
270	1236	3326
271	1238	3314
272	1249	3328
273	1254	3323
274	1258	3318
275	1272	3338
276	1277	3334
277	1280	3324
278	1281	3311
279	1282	3298
280	1284	3285
281	1285	3273
282	1289	3265
283	1290	3253
284	1293	3244
285	1300	3246
286	1302	3235
287	1303	3223
288	1305	3212
289	1308	3203
290	1313	3200
291	1316	3190
292	1318	3181
293	1370	3290
294	1373	3282
295	1381	3285
296	1383	3275
297	1385	3263
298	1387	3251
299	1388	3239
300	1390	3228
301	1391	3216
302	1400	3221
303	1401	3209
304	1403	3197
305	1404	3186
306	1406	3175
307	1414	3177
308	1416	3167
309	1418	3156
310	1419	3145
311	1421	3133
312	1422	3122
313	1428	3121
314	1434	3119
315	1437	3111
316	1444	3111
317	1447	3104
318	1451	3098
319	1463	3108
320	1465	3099
321	1560	3286
322	1564	3278
323	1567	3270
324	1572	3265
325	1574	3255
326	1576	3244
327	1577	3232
328	1586	3235
329	1588	3224
330	1591	3217
331	1593	3205
332	1596	3196
333	1597	3185
334	1600	3176
335	1602	3166
336	1605	3158
337	1607	3147
338	1610	3140
339	1613	3131
340	1614	3120
341	1619	3116
342	1621	3105
343	1623	3095
344	1626	3088
345	1636	3092
346	1637	3081
347	1638	3070
348	1640	3060
349	1642	3050
350	1643	3039
351	1645	3029
352	1648	3020
353	1650	3011
354	1653	3003
355	1656	2996
356	1661	2992
357	1663	2982
358	1668	2978
359	1672	2972
360	1718	3042
361	1721	3034
362	1723	3024
363	1726	3016
364	1733	3015
365	1735	3006
366	1738	2998
367	1741	2990
368	1743	2980
369	1765	3005
370	1773	3007
371	1780	3005
372	1783	2997
373	1787	2991
374	1789	2982
375	1792	2974
376	1822	3011
377	1825	3003
378	1832	3003
379	1834	2993
380	1837	2985
381	1840	2977
382	1847	2976
383	1849	2967
384	1852	2959
385	1853	2948
386	1855	2939
387	1857	2929
388	1862	2924
389	1864	2915
390	1867	2909
391	1869	2900
392	1906	2943
393	1911	2939
394	1913	2931
395	1916	2922
396	1918	2913
397	1919	2903
398	1921	2894
399	1924	2886
400	1925	2876
401	1927	2867
402	1929	2858
403	1932	2851
404	1934	2842
405	1942	2841
406	1943	2831
407	1945	2822
408	1946	2812
409	1960	2821
410	1962	2811
411	1963	2802
412	1965	2793
413	1966	2783
414	1968	2774
415	1969	2764
416	1970	2755
417	1975	2750
418	1977	2741
419	1979	2733
420	1980	2724
421	1982	2714
422	1983	2705
423	1984	2696
424	1986	2687
425	1990	2681
426	1992	2673
427	1996	2668
428	1998	2659
429	1999	2650
430	2000	2641
431	2010	2643
432	2016	2641
433	2018	2632
434	2020	2624
435	2023	2617
436	2026	2610
437	2028	2602
438	2029	2593
439	2030	2584
440	2032	2576
441	2035	2569
442	2042	2567
443	2043	2558
444	2044	2550
445	2045	2541
446	2047	2533
447	2048	2524
448	2050	2516
449	2054	2511
450	2056	2503
451	2057	2494
452	2058	2486
453	2060	2478
454	2062	2470
455	2063	2462
456	2065	2454
457	2070	2450
458	2072	2442
459	2073	2434
460	2074	2425
461	2076	2418
462	2079	2411
463	2081	2404
464	2085	2399
465	2086	2390
466	2088	2383
467	2090	2376
468	2092	2368
469	2093	2360
470	2094	2352
471	2095	2344
472	2097	2336
473	2101	2332
474	2104	2325
475	2106	2318
476	2110	2314
477	2111	2306
478	2113	2298
479	2118	2294
480	2120	2287
481	2121	2280
482	2123	2273
483	2125	2265
484	2126	2258
485	2129	2251
486	2132	2246
487	2133	2238
488	2134	2231
489	2136	2223
490	2137	2216
491	2138	2208
492	2140	2201
493	2142	2194
494	2143	2187
495	2145	2179
496	2146	2172
497	2147	2165
498	2150	2159
499	2152	2152
500	2153	2144
501	2154	2137
502	2156	2130
503	2157	2123
504	2158	2116
505	2160	2108
506	2161	2101
507	2162	2094
508	2164	2087
509	2166	2081
510	2168	2075
511	2170	2068
512	2172	2062
513	2173	2055
514	2174	2048
515	2176	2041
516	2177	2034
517	2179	2027
518	2183	2023
519	2184	2016
520	2185	2009
521	2187	2002
522	2189	1996
523	2190	1990
524	2192	1983
525	2193	1976
526	2194	1969
527	2196	1963
528	2198	1957
529	2200	1951
530	2202	1945
531	2204	1939
532	2205	1932
533	2207	1926
534	2209	1920
535	2210	1913
536	2214	1909
537	2215	1902
538	2216	1895
539	2217	1889
540	2218	1882
541	2220	1876
542	2221	1869
543	2222	1863
544	2223	1856
545	2226	1851
546	2230	1847
547	2231	1840
548	2232	1834
549	2233	1827
550	2235	1821
551	2237	1815
552	2239	1810
553	2240	1803
554	2241	1797
555	2245	1793
556	2248	1788
557	2250	1782
558	2252	1777
559	2253	1770
560	2255	1764
561	2256	1758
562	2261	1755
563	2262	1749
564	2264	1743
565	2265	1737
566	2267	1731
567	2268	1725
568	2269	1719
569	2270	1713
570	2272	1707
571	2275	1702
572	2277	1697
573	2278	1691
574	2279	1685
575	2281	1679
576	2282	1673
577	2283	1667
578	2284	1661
579	2286	1655
580	2288	1650
581	2292	1646
582	2293	1640
583	2295	1634
584	2297	1629
585	2299	1624
586	2304	1621
587	2307	1616
588	2309	1611
589	2311	1606
