iter	Passed	Remaining
0	6	6344
1	9	4544
2	13	4628
3	16	4085
4	18	3644
5	19	3254
6	21	2982
7	22	2766
8	23	2628
9	25	2567
10	26	2421
11	28	2305
12	29	2218
13	30	2152
14	31	2093
15	33	2039
16	34	1985
17	77	4253
18	79	4121
19	81	3972
20	82	3841
21	94	4216
22	96	4102
23	99	4054
24	106	4152
25	107	4037
26	109	3928
27	110	3826
28	112	3761
29	113	3672
30	115	3595
31	116	3536
32	127	3728
33	128	3650
34	130	3589
35	132	3545
36	156	4071
37	163	4128
38	164	4050
39	165	3975
40	172	4028
41	173	3953
42	174	3883
43	175	3817
44	177	3763
45	179	3722
46	183	3712
47	184	3660
48	185	3604
49	186	3552
50	188	3500
51	189	3451
52	190	3403
53	191	3357
54	192	3313
55	194	3270
56	195	3229
57	196	3185
58	200	3191
59	202	3168
60	203	3138
61	210	3178
62	211	3148
63	220	3225
64	222	3200
65	223	3168
66	225	3135
67	226	3106
68	231	3117
69	232	3094
70	234	3064
71	235	3031
72	237	3011
73	238	2989
74	240	2965
75	241	2938
76	242	2910
77	244	2894
78	247	2883
79	248	2861
80	250	2837
81	251	2813
82	252	2791
83	253	2768
84	255	2746
85	256	2725
86	257	2703
87	259	2689
88	262	2685
89	263	2665
90	265	2647
91	266	2631
92	268	2615
93	269	2597
94	271	2581
95	272	2563
96	273	2544
97	275	2537
98	277	2521
99	278	2505
100	279	2491
101	281	2474
102	282	2462
103	285	2456
104	286	2440
105	287	2427
106	294	2456
107	311	2572
108	332	2720
109	335	2718
110	341	2732
111	343	2724
112	345	2709
113	346	2694
114	347	2677
115	351	2675
116	353	2668
117	360	2694
118	364	2694
119	365	2682
120	367	2666
121	372	2680
122	373	2665
123	375	2649
124	376	2634
125	379	2629
126	381	2622
127	384	2616
128	389	2629
129	391	2621
130	393	2607
131	394	2596
132	399	2601
133	402	2600
134	405	2598
135	407	2591
136	409	2581
137	411	2568
138	412	2556
139	414	2543
140	415	2531
141	419	2535
142	422	2529
143	423	2517
144	424	2505
145	427	2498
146	429	2489
147	432	2490
148	439	2512
149	441	2502
150	444	2501
151	454	2533
152	459	2544
153	462	2542
154	468	2552
155	470	2544
156	473	2542
157	475	2532
158	477	2523
159	482	2533
160	485	2530
161	488	2529
162	491	2526
163	493	2517
164	500	2535
165	504	2532
166	507	2531
167	517	2565
168	521	2564
169	523	2555
170	527	2555
171	538	2589
172	541	2587
173	546	2594
174	551	2598
175	554	2597
176	556	2588
177	558	2580
178	562	2582
179	565	2576
180	568	2570
181	569	2561
182	571	2552
183	572	2540
184	578	2547
185	579	2537
186	581	2530
187	585	2528
188	588	2525
189	591	2522
190	593	2514
191	595	2506
192	597	2497
193	607	2522
194	609	2517
195	611	2506
196	612	2495
197	613	2485
198	614	2474
199	622	2488
200	623	2478
201	625	2471
202	628	2466
203	630	2460
204	635	2463
205	637	2457
206	640	2452
207	642	2445
208	644	2438
209	645	2430
210	651	2436
211	653	2429
212	656	2425
213	664	2438
214	667	2435
215	669	2429
216	671	2422
217	673	2417
218	676	2411
219	684	2426
220	686	2418
221	688	2413
222	690	2407
223	693	2401
224	696	2399
225	698	2393
226	701	2388
227	702	2379
228	704	2370
229	705	2361
230	706	2352
231	708	2343
232	716	2358
233	720	2358
234	724	2359
235	729	2362
236	731	2354
237	732	2345
238	733	2336
239	735	2328
240	736	2319
241	737	2311
242	739	2303
243	740	2294
244	742	2288
245	743	2280
246	745	2271
247	746	2263
248	747	2255
249	749	2247
250	750	2240
251	753	2236
252	755	2230
253	759	2230
254	761	2224
255	765	2225
256	787	2276
257	789	2270
258	792	2266
259	793	2258
260	795	2251
261	797	2245
262	798	2237
263	799	2229
264	800	2221
265	802	2213
266	803	2206
267	806	2202
268	808	2195
269	809	2187
270	810	2180
271	811	2172
272	813	2165
273	822	2178
274	823	2171
275	825	2164
276	826	2157
277	827	2149
278	829	2142
279	830	2135
280	831	2128
281	833	2121
282	834	2115
283	837	2111
284	838	2104
285	286	840	2286	287	842	2287	288	843	2288	289	844	2289	290	845	2290	291	846	2291	292	848	2292	293	849	2293	852	2046
294	859	2053
295	860	2046
296	861	2039
297	869	2047
298	870	2041
299	872	2036
300	873	2029
301	875	2022
302	877	2018
303	880	2016
304	886	2020
305	887	2013
306	889	2006
307	890	2000
308	892	1995
309	894	1990
310	895	1984
311	897	1978
312	899	1975
313	901	1970
314	903	1963
315	904	1957
316	908	1956
317	909	1950
318	914	1952
319	916	1948
320	919	1945
321	921	1939
322	922	1934
323	924	1928
324	926	1924
325	930	1924
326	934	1923
327	936	1918
328	937	1912
329	330	938	1330	331	943	1331	953	1918
332	955	1912
333	965	1924
334	967	1920
335	972	1922
336	978	1925
337	979	1918
338	980	1912
339	984	1910
340	988	1909
341	998	1920
342	999	1914
343	1006	1918
344	1007	1913
345	1011	1911
346	1012	1906
347	1014	1900
348	1015	1894
349	1017	1890
350	1030	1905
351	1031	1899
352	1049	1923
353	1050	1917
354	1053	1913
355	1055	1908
356	1056	1902
357	1057	1897
358	1066	1904
359	1069	1902
360	1073	1899
361	1074	1893
362	1075	1887
363	1077	1881
364	1078	1876
365	1080	1872
366	1085	1871
367	1087	1867
368	1088	1861
369	1089	1855
370	1091	1850
371	1092	1844
372	1109	1865
373	1112	1861
374	1113	1856
375	1125	1867
376	1126	1862
377	1128	1856
378	1129	1851
379	1132	1847
380	1133	1842
381	1135	1836
382	1136	1830
383	1137	1824
384	1138	1819
385	1140	1813
386	1141	1808
387	1142	1802
388	1144	1797
389	1146	1794
390	1148	1788
391	1150	1783
392	1151	1778
393	1152	1773
394	1154	1767
395	1155	1762
396	1156	1756
397	1157	1750
398	1158	1745
399	1160	1740
400	1162	1736
401	1164	1731
402	1165	1726
403	1166	1721
404	1167	1715
405	1169	1710
406	1170	1705
407	1172	1701
408	1173	1696
409	1175	1691
410	1179	1690
411	1182	1687
412	1183	1682
413	1185	1677
414	1186	1672
415	1187	1667
416	1189	1662
417	1192	1660
418	1201	1665
419	1204	1662
420	1206	1658
421	1210	1658
422	1212	1654
423	1222	1660
424	1230	1664
425	1233	1662
426	1237	1659
427	1240	1657
428	1248	1661
429	1250	1656
430	1252	1653
431	1254	1649
432	1260	1651
433	1263	1647
434	1264	1642
435	1265	1637
436	1267	1632
437	1268	1627
438	1270	1623
439	1272	1620
440	1274	1615
441	1275	1610
442	1277	1605
443	1278	1600
444	1279	1596
445	1281	1591
446	1282	1586
447	1283	1581
448	1285	1577
449	1286	1572
450	1288	1568
451	1290	1564
452	1293	1561
453	1295	1557
454	1296	1552
455	1298	1548
456	1299	1544
457	1300	1539
458	1302	1534
459	1304	1531
460	1305	1526
461	1307	1522
462	1308	1517
463	1310	1513
464	1311	1508
465	1312	1504
466	1314	1499
467	1315	1495
468	1316	1490
469	1318	1486
470	1319	1482
471	1321	1478
472	1322	1473
473	1327	1473
474	1329	1469
475	1330	1464
476	1332	1460
477	1333	1456
478	1335	1452
479	1336	1447
480	1337	1443
481	1338	1438
482	1340	1434
483	1341	1430
484	1343	1426
485	1344	1422
486	1348	1420
487	1350	1417
488	1352	1413
489	1353	1408
490	1355	1404
491	1356	1400
492	1357	1395
493	1358	1391
494	1360	1388
495	1361	1383
496	1363	1380
497	1365	1376
498	1367	1373
499	1370	1370
500	1372	1367
501	1374	1363
502	1376	1360
503	1382	1361
504	1388	1360
505	1390	1357
506	1392	1353
507	1395	1351
508	1401	1351
509	1404	1349
510	1405	1345
511	1407	1341
512	1408	1337
513	1410	1333
514	1415	1332
515	1417	1329
516	1418	1325
517	1419	1321
518	1421	1317
519	1422	1312
520	1423	1309
521	1425	1305
522	1426	1301
523	1432	1301
524	1435	1298
525	1438	1296
526	1441	1293
527	1447	1294
528	1452	1293
529	1455	1290
530	1462	1291
531	1464	1288
532	1466	1284
533	1468	1281
534	1470	1277
535	1472	1274
536	1474	1271
537	1477	1268
538	1479	1265
539	1481	1262
540	1484	1259
541	1491	1260
542	1495	1258
543	1497	1255
544	1500	1252
545	1501	1248
546	1503	1244
547	1506	1242
548	1508	1239
549	1510	1235
550	1511	1231
551	1513	1227
552	1514	1224
553	1515	1220
554	1517	1216
555	1518	1212
556	1523	1211
557	1526	1208
558	1527	1205
559	1528	1201
560	1529	1197
561	1530	1193
562	1531	1189
563	1532	1185
564	1534	1181
565	1538	1179
566	1539	1175
567	1541	1172
568	1542	1168
569	1543	1164
570	1544	1160
571	1546	1157
572	1549	1154
573	1555	1154
574	1557	1150
575	1560	1148
576	1561	1144
577	1562	1140
578	1563	1137
579	1565	1133
580	1569	1132
581	1570	1128
582	1572	1124
583	1573	1120
584	1574	1117
585	1575	1113
586	1576	1109
587	1578	1105
588	1579	1102
589	1580	1098
590	1582	1095
591	1587	1094
592	1590	1091
593	1593	1089
594	1598	1088
595	1602	1086
596	1605	1084
597	1611	1083
598	1612	1079
599	1614	1076
600	1618	1074
601	1620	1071
602	1621	1067
603	1623	1064
604	1624	1060
605	1626	1057
606	1627	1053
607	1628	1050
608	1632	1048
609	1634	1044
610	1635	1041
611	1636	1037
612	1638	1034
613	1639	1030
614	1640	1027
615	1642	1023
616	1643	1020
617	1644	1016
618	1647	1014
619	1649	1010
620	1650	1007
621	1651	1003
622	1652	1000
623	1654	996
624	1655	993
625	1656	989
626	1658	986
627	1659	983
628	1664	981
629	1667	979
630	1668	975
631	1669	972
632	1670	968
633	1672	965
634	1673	961
635	1674	958
636	1678	956
637	1680	953
638	1682	950
639	1683	947
640	1685	944
641	1686	940
642	1688	937
643	1689	933
644	1690	930
645	1700	931
646	1702	928
647	1704	925
648	1705	922
649	1706	918
650	1710	916
651	1711	913
652	1712	910
653	1713	906
654	1715	903
655	1716	900
656	1717	896
657	1719	893
658	1719	889
659	1722	887
660	1726	885
661	1727	882
662	1728	878
663	1729	875
664	1731	872
665	1732	868
666	1733	865
667	1734	862
668	1737	859
669	1741	857
670	1743	854
671	1744	851
672	1746	848
673	1747	845
674	1749	842
675	1753	840
676	1757	838
677	1759	835
678	1760	832
679	1762	829
680	1764	826
681	1766	823
682	1768	821
683	1774	819
684	1776	816
685	1778	813
686	1780	811
687	1784	809
688	1794	810
689	1799	808
690	1800	805
691	1806	804
692	1810	802
693	1813	799
694	1816	797
695	1826	797
696	1829	795
697	1830	792
698	1832	789
699	1838	787
700	1840	784
701	1842	781
702	1843	778
703	1845	775
704	1846	772
705	1848	769
706	1850	766
707	1852	764
708	1855	761
709	1856	758
710	1862	757
711	1863	753
712	1864	750
713	1866	747
714	1867	744
715	1868	741
716	1870	738
717	1873	735
718	1877	733
719	1878	730
720	1879	727
721	1886	726
722	1906	730
723	1914	729
724	1916	726
725	1919	724
726	1924	722
727	1927	720
728	1929	717
729	1930	714
730	1931	710
731	1933	707
732	1934	704
733	1935	701
734	1940	699
735	1942	696
736	1944	693
737	1958	695
738	1961	692
739	1965	690
740	1967	687
741	1975	687
742	1979	684
743	1980	681
744	1981	678
745	1995	679
746	1998	676
747	1999	673
748	2002	670
749	2003	667
750	2004	664
751	2006	661
752	2007	658
753	2008	655
754	2009	652
755	2012	649
756	2016	647
757	2018	644
758	2020	641
759	2020	638
760	2022	635
761	2023	632
762	2025	629
763	2032	627
764	2034	624
765	2035	621
766	2036	618
767	2038	615
768	2039	612
769	2041	609
770	2042	606
771	2043	603
772	2046	601
773	2049	598
774	2051	595
775	2055	593
776	2056	590
777	2057	587
778	2059	584
779	2060	581
780	2061	578
781	2063	575
782	2066	572
783	2069	570
784	2070	567
785	2071	563
786	2072	560
787	2073	557
788	2075	554
789	2077	552
790	2079	549
791	2080	546
792	2082	543
793	2083	540
794	2085	537
795	2086	534
796	2087	531
797	2089	528
798	2090	525
799	2092	523
800	2093	520
801	2095	517
802	2096	514
803	2097	511
804	2098	508
805	2099	505
806	2101	502
807	2102	499
808	2103	496
809	2105	493
810	2106	490
811	2108	488
812	2109	485
813	2112	482
814	2113	479
815	2115	477
816	2117	474
817	2118	471
818	2119	468
819	2121	465
820	2123	462
821	2124	460
822	2125	457
823	2127	454
824	2128	451
825	2129	448
826	2130	445
827	2132	442
828	2133	440
829	2135	437
830	2137	434
831	2138	431
832	2139	428
833	2141	426
834	2142	423
835	2143	420
836	2144	417
837	2146	414
838	2147	412
839	2149	409
840	2150	406
841	2151	403
842	2153	400
843	2154	398
844	2155	395
845	2157	392
846	2159	390
847	2161	387
848	2162	384
849	2163	381
850	2164	379
851	2166	376
852	2167	373
853	2169	370
854	2171	368
855	2173	365
856	2174	362
857	2175	360
858	2176	357
859	2177	354
860	2179	351
861	2180	349
862	2181	346
863	2183	343
864	2184	340
865	2188	338
866	2189	335
867	2190	333
868	2191	330
869	2193	327
870	2194	325
871	2196	322
872	2197	319
873	2198	316
874	2199	314
875	2201	311
876	2203	309
877	2205	306
878	2206	303
879	2207	301
880	2209	298
881	2210	295
882	2212	293
883	2213	290
884	2214	287
885	2215	285
886	2217	282
887	2219	279
888	2220	277
889	2221	274
890	2223	271
891	2224	269
892	2225	266
893	2227	264
894	2228	261
895	2229	258
896	2231	256
897	2232	253
898	2234	250
899	2236	248
900	2237	245
901	2238	243
902	2239	240
903	2241	238
904	2242	235
905	2243	232
906	2245	230
907	2246	227
908	2247	225
909	2249	222
910	2251	219
911	2253	217
912	2254	214
913	2255	212
914	2256	209
915	2258	207
916	2259	204
917	2260	201
918	2262	199
919	2264	196
920	2266	194
921	2267	191
922	2269	189
923	2270	186
924	2271	184
925	2273	181
926	2274	179
927	2275	176
928	2276	174
929	2278	171
930	2280	168
931	2281	166
932	2282	163
933	2284	161
934	2285	158
935	2286	156
936	2287	153
937	2289	151
938	2290	148
939	2291	146
940	2293	143
941	2294	141
942	2296	138
943	2297	136
944	2298	133
945	2299	131
946	2300	128
947	2302	126
948	2303	123
949	2304	121
950	2305	118
951	2306	116
952	2308	113
953	2309	111
954	2310	108
955	2312	106
956	2313	103
957	2315	101
958	2316	99
959	2318	96
960	2323	94
961	2325	91
962	2328	89
963	2330	87
964	2330	84
965	2331	82
966	2332	79
967	2333	77
968	2334	74
969	2335	72
970	2336	69
971	2337	67
972	2339	64
973	2340	62
974	2341	60
975	2342	57
976	2344	55
977	2345	52
978	2346	50
979	2347	47
980	2348	45
981	2349	43
982	2350	40
983	2351	38
984	2352	35
985	2353	33
986	2354	31
987	2356	28
988	2407	26
989	2410	24
990	2412	21
991	2414	19
992	2417	17
993	2418	14
994	2420	12
995	2422	9
996	2424	7
997	2427	4
998	2428	2
999	2430	0
