iter	Logloss
0	0.6912296918
1	0.6897011757
2	0.6886760652
3	0.6872493936
4	0.6854289545
5	0.6841759761
6	0.6824207412
7	0.6810210857
8	0.6796231588
9	0.6784961926
10	0.6779269238
11	0.6773613301
12	0.6759300841
13	0.6752367695
14	0.6735533714
15	0.6721940769
16	0.6712220636
17	0.6702656507
18	0.6688192891
19	0.6680305547
20	0.6666969081
21	0.6657311274
22	0.6643497911
23	0.6633595069
24	0.6625589642
25	0.6609255261
26	0.6597483059
27	0.6589504116
28	0.6579299814
29	0.6563060866
30	0.6548383792
31	0.6540063719
32	0.6530194938
33	0.6514081419
34	0.649976386
35	0.6486252778
36	0.6473258621
37	0.6461406701
38	0.6448373066
39	0.6436805367
40	0.6426372654
41	0.6421880556
42	0.64060389
43	0.6395848817
44	0.638380905
45	0.6378935377
46	0.6365299529
47	0.6354785615
48	0.6341473831
49	0.6328964419
50	0.6322215451
51	0.6310666329
52	0.6298973759
53	0.6284128891
54	0.6276377327
55	0.62705881
56	0.625844162
57	0.6254463712
58	0.6242438946
59	0.6236306681
60	0.6226535373
61	0.6213671664
62	0.6201008512
63	0.6190241602
64	0.6178941819
65	0.6170349737
66	0.6154547201
67	0.6141427822
68	0.6127810266
69	0.6119636244
70	0.6111676693
71	0.6108089149
72	0.6094931278
73	0.6085640291
74	0.6079376539
75	0.6068512698
76	0.6056010743
77	0.6044141584
78	0.6033001443
79	0.602258467
80	0.6014027297
81	0.6009409428
82	0.5997598343
83	0.5992098106
84	0.5988158941
85	0.5975236032
86	0.5969655759
87	0.5961111281
88	0.5950470659
89	0.5943042815
90	0.5933394783
91	0.592773164
92	0.5921040614
93	0.5913340211
94	0.590522478
95	0.5892196086
96	0.5887849907
97	0.5881843812
98	0.5869912465
99	0.5862206274
100	0.5852155189
101	0.5838537772
102	0.5833611167
103	0.5825966868
104	0.5823314408
105	0.5813470205
106	0.5803923769
107	0.5794223679
108	0.5786359168
109	0.5782207714
110	0.5774941762
111	0.5760723809
112	0.5750631273
113	0.5743629558
114	0.5737328562
115	0.5730820073
116	0.572377995
117	0.5710130788
118	0.5705573854
119	0.5700261669
120	0.5693174346
121	0.5689398358
122	0.5687634981
123	0.5679701202
124	0.5667968631
125	0.5659401539
126	0.565305729
127	0.5645759513
128	0.5636039919
129	0.562473186130	0.5550201327
131	0.5546532134
13132	0.55989136
133	0.5588129848
134	0.5582574983
135	0.557445841
136	0.5563026177
137	0.5552319752
138	0.5541745792
139	0.5537758039
140	0.5533202575
141	0.5527157098
142	0.5522095929
143	0.5510629763
144	0.5502248065
145	0.5495020641
146	0.5492914336147	0.5439876086
148	0.5437277635
149	0.5429718461
1150	0.5467722823
151	0.545953848
152	0.5450920459
153	0.5438338035
154	0.5430186845
155	0.5425250047
156	0.5417952478
157	0.5408239586
158	0.5402173976
159	0.5393866267
160	0.5391778519
161	0.5383799732
162	0.5376568278
163	0.5371777995
164	0.536274054
165	0.5354172717
166	0.5341387494
167	0.533716998168	0.5289359278
169	0.5282362673
17170	0.5310025991171	0.5304537859
172	0.5297634439
173	0.5290009916
174	0.527756441
175	0.5271798958
176	0.5264926016
177	0.5253613217
178	0.5242214349
179	0.5235688915
180	0.5228915602
181	0.5222330666
182	0.5211949123
183	0.5209293233
184	0.5204347004
185	0.5201808883
186	0.51985922818187	0.5189860281
188	0.5182218575
189	0.5175554954
190	0.5167341216
191	0.5159413705
192	0.515265135
193	0.5147640053
194	0.5141607553
195	0.5138651619
196	0.5136645999
197	0.5128397471
198	0.5121840182
199	0.511237687200	0.5093328721
201	0.508531591
202	0.5077615864
203	0.507096082
204204	0.5088616815
205	0.5076524407
206	0.5071574486
207	0.5063841512
208	0.5053721623
209	0.50510067210	0.5036889421
211	0.503247965
212	0.5026007725
213	0.5022081236
214	0.5019142283
215	0.5011580202
216	0.5010481152
217	0.5000752588
218	0.4993489577
219	0.498638624
220	0.4977577037
221	0.4973930054
222	0.4966756894
223	0.4960674167
224	0.4958944533
225	0.495666694
226	0.4953593347
227	0.4947158012
228	0.4943321665
229	0.4935355571
230	0.4927494943
231	0.4921596587
232	0.4912361774
233	0.4906158666
234	0.4899901794
235	0.4898285422
236	0.4891989271
237	0.4882339961
238	0.4877324661
239	0.4875291109
240	0.4869316101
241	0.4862529582
242	0.4861065732
243	0.4851455185
244	0.4845301999
245	0.4835565322
246	0.4831155154
247	0.4824418492
248	0.4820428371
249	0.4812372234
250	0.480866456
251	0.4804023968
252	0.4797945586
253	0.4792274243
254	0.4784746899
255	0.4777984242
256	0.4776889662
257	0.4772306383
258	0.4765417582
259	0.4760250608
260	0.4753285746
261	0.4745471954
262	0.4739942458
263	0.4732235432
264	0.4727071616
265	0.4726288001
266	0.4718873388
267	0.4710712281
268	0.4709946341
